City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Flin Flon,CA,54.7682,-101.865,51.84,64,88,9.42,overcast clouds
1,Tiksi,RU,71.6872,128.8694,32.34,87,100,17.58,light snow
2,Busselton,AU,-33.65,115.3333,70.0,54,97,2.35,overcast clouds
3,Marawi,PH,7.9986,124.2928,75.0,88,98,1.25,overcast clouds
4,Waipawa,NZ,-41.4122,175.5153,56.34,66,98,6.02,light rain
5,Lazaro Cardenas,MX,17.9583,-102.2,79.29,85,100,2.19,overcast clouds
6,Pisco,PE,-13.7,-76.2167,57.25,88,38,2.3,scattered clouds
7,Isla Mujeres,MX,21.2311,-86.731,77.16,83,60,10.04,broken clouds
8,Makakilo City,US,21.3469,-158.0858,80.56,68,13,11.88,few clouds
9,Kruisfontein,ZA,-34.0033,24.7314,60.89,93,90,6.67,overcast clouds
10,Mount Gambier,AU,-37.8333,140.7667,54.75,64,85,9.51,overcast clouds
11,Yeppoon,AU,-23.1333,150.7333,78.58,69,100,12.68,overcast clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,46.94,75,0,1.99,clear sky
13,Taltal,CL,-25.4,-70.4833,56.28,73,0,1.1,clear sky
14,Bosaso,SO,11.2842,49.1816,89.58,48,0,0.0,clear sky
15,Jamestown,US,42.097,-79.2353,54.99,77,100,11.01,overcast clouds
16,Albany,US,42.6001,-73.9662,54.52,91,76,4.34,broken clouds
17,Derzhavinsk,KZ,51.1,66.3167,37.47,51,93,9.75,overcast clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,68.97,94,98,12.91,light rain
19,Stornoway,GB,58.2093,-6.3865,45.03,92,78,6.91,broken clouds
20,Thompson,CA,55.7435,-97.8558,50.16,71,75,11.5,broken clouds
21,Butaritari,KI,3.0707,172.7902,82.56,71,43,15.48,scattered clouds
22,Cape Town,ZA,-33.9258,18.4232,58.37,80,0,3.44,clear sky
23,Broome,US,42.2506,-75.833,52.7,84,100,3.0,overcast clouds
24,Maniitsoq,GL,65.4167,-52.9,42.33,94,100,8.46,overcast clouds
25,Strezhevoy,RU,60.7333,77.5889,32.58,69,93,9.24,overcast clouds
26,Ancud,CL,-41.8697,-73.8203,42.78,85,0,5.39,clear sky
27,Ha Tinh,VN,18.3333,105.9,80.04,91,100,18.52,light rain
28,Laguna,US,38.421,-121.4238,73.18,62,0,5.75,clear sky
29,Victoria,HK,22.2855,114.1577,89.96,73,97,18.99,overcast clouds
30,San Patricio,US,28.017,-97.5169,81.84,48,0,5.93,clear sky
31,Mount Isa,AU,-20.7333,139.5,65.97,82,100,12.66,overcast clouds
32,Portel,BR,-1.9356,-50.8211,73.45,89,34,3.31,scattered clouds
33,Misratah,LY,32.3754,15.0925,78.49,72,90,4.92,overcast clouds
34,Flagstaff,US,35.1981,-111.6513,64.06,65,58,1.43,broken clouds
35,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,25.32,broken clouds
36,Mataura,NZ,-46.1927,168.8643,49.48,96,86,1.05,moderate rain
37,Bereda,ES,43.2686,-7.5406,56.41,100,100,4.29,overcast clouds
38,Rikitea,PF,-23.1203,-134.9692,70.36,60,31,11.39,scattered clouds
39,Porto Walter,BR,-8.2686,-72.7439,74.98,71,4,2.77,clear sky
40,Vaini,TO,-21.2,-175.2,72.21,85,17,24.85,light rain
41,Banda Aceh,ID,5.5577,95.3222,84.07,65,100,16.93,overcast clouds
42,Bredasdorp,ZA,-34.5322,20.0403,52.65,90,87,2.93,overcast clouds
43,Muroran,JP,42.3172,140.9881,66.85,67,58,10.13,broken clouds
44,Margherita,IN,27.2833,95.6833,88.56,59,44,3.67,scattered clouds
45,Castro,BR,-24.7911,-50.0119,57.94,99,100,6.26,moderate rain
46,Atuona,PF,-9.8,-139.0333,77.0,78,11,21.43,few clouds
47,Myaundzha,RU,63.0494,147.1858,33.84,66,62,4.68,broken clouds
48,Fairbanks,US,64.8378,-147.7164,39.6,92,94,5.61,overcast clouds
49,Lompoc,US,34.6391,-120.4579,60.94,91,0,10.0,clear sky
50,Bluff,NZ,-46.6,168.3333,49.8,83,90,3.74,overcast clouds
